code,botname
PIST_P,Pinus strobus 'Pendula'
PRPP,Prunus 'Pink Perfection'
PYCACH,Pyrus calleryana 'Chanticleer'
PYUS,Pyrus ussuriensis 'Prarie Gem'
QURO_C,Quercus robur var. Concordia
SAALT,Salix alba 'Tristis'
SCVE,Sciadopitys verticillata
THOC_S,Thuja occidentalis 'Smaragd'
TIEU2,Tilia europaea
TSCA_J,Tsuga canadensis 'Jeddeloh'
ULAM_P,Ulmus americana 'Princeton'
ULGL,Ulmus glabra
ULGL_C,Ulmus glabra 'Camperdownii'
ULGL_P,Ulmus glabra 'Pendula'
ULGL_L,Ulmus glabra var. Lutescens
ACFR,Acer Freemanii
COAL,Cornus Alternifolia
MATH,Malus ‘Thunderchild’
CAPAL,Carya pallida
PINRES,Pinus resinosa
FRALAT,Fraxinus latifolia
CORCOR,Corylus Cornuta
PIMUGO,Pinus mugo
DIVIR,Diospyros virginiana
SAMRAC,Sambucus racemosa
CARCAR,Carpinus caroliniana
CABIG,Catalpa bignonioides
ABGR,Abies grandis
VIRHY,Viburnum rhytidophyllum
ACGLAB,Acer glabrum
QUFAST,Quercus robur ‘Fastigiata’
CUNO,Cupressus nootkatensis
CORSER,Cornus sericea
CELORB,Celastrus orbiculatus
CARLAE,Cartaegus laevigata
EUALA,Euonymus alatus
QUSTEL,Quercus stellata
ACNIG,Acer saccharum var. nigrum
QUVEL,Quercus velutina
EUJAP,Euonymus japonicus
SYVU,Syringa vulgaris
ACMAC,Acer Macrophyllum
VIOPU,Viburnum opulus
AEGL,Aesculus glabra
PAGUTT,Palaquium gutta
QUEBI,Quercus bicolor
MAMAK,Malus ‘Makamik’
MALOE,Magnolia x loebneri Leonard Messel
QUPAL,Quercus palustris Pringreen
CATEX,Carya texana
PHYOP,Physocarpus opulifolius
CORHET,Corylus heterophylla 
PHILEW,Philadelphus lewisii
CARAQU,Carya aquatica
MABRO,Magnolia × brooklynensis
DIOVI,Diospyros virginiana
FRAUH,Fraxinus uhdei
ULCRA,Ulmus crassifolia
CARIll,Carya illinoinensis
QUCOC,Quercus coccinea
ERJAP,Eriobotrya japonica
RHLA,Rhus lanceolata
MAHOPA,Malus ‘Hopa’
MALHUP,Malus hupehensis
PINRIG,Pinus rigida
ROPSE,Robinia pseudoacacia
QUSHU,Quercus shumardii
PRCER,Prunus cerasus
QULY,Quercus lyrata
SOTH,Sorbus thuringiaca ‘Fastigiata’
CATO,Carya tomentosa
UNO,Unknown
ACGRAN,Acer grandidentatum
MALBAC,Malus baccata
ROHIS,Robinia hispida
ACSPI,Acer spicatum
ULPIO,Ulmus x ‘Pioneer’
CLAKEN,Cladrastis kentukea
CAOVA,Catalpa ovata
CYDOB,Cydonia oblonga
ALRUB,Alnus Rubra
BUROAK,Quercus macrocarpa
BLAOAK,Quercus velutina
BOAK,Quercus bicolor
FMAPLE,Acer x fremanii
