X,Y,OBJECTID,ASSETID,TREEID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,HRMINTRST,WIRES,SP_SCIEN,SP_COMM,DBH,SIZE2UNIT,SIZE2CONF,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,FCODE,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.5733578049999,44.63871793,9559551,TRE129856,TRE129856,TRE,HRM,,,WOOD,1,ROW,Y,Y,TI,TI,4,MM,2,INS,,TOBIN ST FROM BARRINGTON ST TO QUEEN ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.573568113,44.6244272800001,9559552,TRE130992,TRE130992,TRE,HRM,,,WOOD,1,ROW,Y,N,QURU,QURU,2,MM,2,INS,,FRANCKLYN ST FROM CHAIN ROCK DR TO BALMORAL RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.597347008,44.6392193030001,9559553,TRE131812,TRE131812,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACPL,ACPL,5,MM,2,INS,,OXFORD ST FROM WAEGWOLTIC AVE TO JENNINGS ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.574382569,44.6220378300001,9559554,TRE131001,TRE131001,TRE,HRM,,,WOOD,1,ROW,Y,N,PINRES,PINRES,4,MM,2,INS,,BALMORAL RD FROM CROWS NEST DR TO CHAIN ROCK DR,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.576334032,44.6301705430001,9559555,TRE130911,TRE130911,TRE,HRM,,,WOOD,1,ROW,Y,N,ACRU,ACRU,1,MM,2,INS,,BRIDGES ST FROM HARRINGTON DR TO ATLANTIC ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.57678901,44.6310767210001,9559556,TRE130919,TRE130919,TRE,HRM,,,WOOD,1,ROW,Y,N,ACRU,ACRU,4,MM,2,INS,,BRIDGES ST FROM HARRINGTON DR TO ATLANTIC ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5720499349999,44.634059263,9559557,TRE131478,TRE131478,TRE,HRM,,,WOOD,1,ROW,Y,N,ACPL,ACPL,3,MM,2,INS,,SOUTH BLAND ST FROM ATLANTIC ST TO INGLIS ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.578140791,44.6348145900001,9559558,TRE131700,TRE131700,TRE,HRM,,,WOOD,1,ROW,Y,Y,ULAM,ULAM,5,MM,2,INS,,TOWER RD FROM INGLIS ST TO VICTORIA RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5766295619999,44.63107761,9559559,TRE130895,TRE130895,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACPL,ACPL,4,MM,2,INS,,BRIDGES ST FROM HARRINGTON DR TO ATLANTIC ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.575392214,44.6229293580001,9559560,TRE131003,TRE131003,TRE,HRM,,,WOOD,1,ROW,Y,N,QURU,QURU,5,MM,2,INS,,BALMORAL RD FROM CROWS NEST DR TO CHAIN ROCK DR,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
