CMANAME,date,count,mean,median,max,min,stdDev
Ottawa,2024-07-08T17:44:26,128,0.14481794673365375,0.14431880414487022,0.14699955284605595,0.14315618562451302,9.999128673603814E-4
Winnipeg,2024-07-08T17:44:26,125,0.16208691046728438,0.16183083242538415,0.16283906911909343,0.16181692481032675,3.7065733616054454E-4
Calgary,2024-07-08T19:25:56,1250,0.14047112467693568,0.14035729008202527,0.14304973185088124,0.13759139180156818,0.0012240133964917896
Vancouver,2024-07-08T19:25:56,196,0.1425662667301922,0.14272923985036262,0.14303648471857988,0.1417345106599983,4.7711872932990095E-4
Winnipeg,2024-07-08T19:25:56,105,0.1642111414927737,0.16472455859183588,0.16477895072336265,0.16306102275841494,6.518922616706039E-4
Vancouver,2024-07-08T21:07:25,127,0.1430301817088232,0.1431386392736374,0.1436766833067354,0.14263306558104605,2.7082305550371063E-4
Halifax,2024-07-09T15:43:51,377,0.14340582901749807,0.14306211471557506,0.14588021484846816,0.14221861958492027,8.872285516051987E-4
Ottawa,2024-07-09T17:25:21,1469,0.14584448228624533,0.145972275528937,0.14864642918120113,0.14238879084591194,0.0012457303339983266
Winnipeg,2024-07-09T17:25:21,795,0.15014288786985674,0.15022364258766405,0.15202920138851084,0.14836367964732367,9.484302827188476E-4
Calgary,2024-07-09T19:06:51,1250,0.13948609655026348,0.1394132879848392,0.14142960310007724,0.13799093663676837,7.072770480893569E-4
Vancouver,2024-07-09T19:06:51,196,0.13885954327806252,0.13887049049292632,0.1397781819107661,0.13717974722368642,6.89916776703876E-4
Winnipeg,2024-07-09T19:06:51,206,0.1546254615872688,0.1547186703488883,0.15595902502547496,0.15306000411502638,7.439843552677934E-4
Vancouver,2024-07-09T20:48:21,196,0.1393339118336143,0.13901972414922695,0.14121408760573023,0.13787844777090388,7.597273633032876E-4
Halifax,2024-07-10T15:24:48,701,0.14690920428122795,0.1470413699770485,0.14793482422838844,0.1445732518850682,7.308322303541619E-4
Halifax,2024-07-10T17:06:18,992,0.1451470087556507,0.14546440775246045,0.14755643904219282,0.1424841582773944,0.0015192701249357923
Calgary,2024-07-10T18:47:48,109,0.137891369284679,0.13822000282995975,0.13852548599256992,0.1367458999154309,5.941091302015726E-4
Winnipeg,2024-07-10T18:47:48,122,0.15324796039960342,0.15352786852005806,0.1538487672806844,0.1517448425292799,5.244197336541532E-4
Vancouver,2024-07-10T20:29:18,196,0.1466895949936819,0.1465527642598342,0.1484213173387621,0.14543650990547363,5.36724275700488E-4
Calgary,2024-07-11T18:28:44,1250,0.15327630934740047,0.15330842930622968,0.15585742890862828,0.15081878006429134,0.001307195273175718
Winnipeg,2024-07-11T18:28:44,795,0.14177123266553657,0.1416171427480257,0.14383399486551635,0.1398944109677677,8.410681705409435E-4
