CMANAME,date,count,mean,median,max,min,stdDev
Vancouver,2024-06-11T21:13:46,86,1.8015762529712003E-5,1.7450955053124883E-5,2.6002331651426248E-5,8.932697481115455E-6,4.073744801404118E-6
Halifax,2024-06-12T15:50:15,66,6.406441965594523E-6,5.642615322033327E-6,2.7074733643391435E-5,3.31914611706179E-6,3.517705655100041E-6
Halifax,2024-06-12T17:31:45,465,1.9181980344395477E-5,1.976312229601575E-5,2.6245006665721882E-5,8.510290172118679E-6,4.288595113549434E-6
Ottawa,2024-06-12T17:31:45,26,6.898916239252002E-6,4.887972409052551E-6,2.3912954929999683E-5,4.887972409049078E-6,7.42636493044012E-6
Toronto,2024-06-12T17:31:45,757,6.11783489763885E-5,5.409707955541629E-5,1.344042102573289E-4,2.5208277293121028E-5,2.2000891984750032E-5
Winnipeg,2024-06-12T17:31:45,795,2.098722145036196E-5,1.8767019378669464E-5,3.2259071304029396E-5,1.0682500032990302E-5,6.694147841199144E-6
Calgary,2024-06-12T19:13:15,1004,1.9500740051803238E-5,1.6802443153416564E-5,3.436633051027554E-5,4.959068522625468E-8,7.915274147215111E-6
Winnipeg,2024-06-12T19:13:15,795,3.16759928788646E-5,3.131617659717059E-5,5.19535278727192E-5,8.470832653980379E-6,9.014601534810336E-6
Calgary,2024-06-12T20:54:45,893,1.220390590839173E-5,1.3423253635375222E-5,3.7932768464099357E-5,2.214532149666722E-6,5.550682320477983E-6
Vancouver,2024-06-12T20:54:45,188,3.434155765344545E-5,3.109631308070401E-5,5.2691037126445867E-5,1.6916097980018906E-5,1.0474659303833118E-5
Halifax,2024-06-13T15:31:15,1115,1.1850345786885158E-5,1.3384465428757891E-5,2.416974348308783E-5,-5.227417204878172E-6,6.705783557413582E-6
Halifax,2024-06-13T17:12:45,1356,1.4963477896001298E-5,1.5083217222814073E-5,2.7680678570006967E-5,2.0795408758126065E-6,5.823603005498913E-6
Montreal,2024-06-13T17:12:45,55,7.861266067846254E-5,8.460709796054094E-5,9.374983346797572E-5,5.2558010793268806E-5,1.615333219506914E-5
Calgary,2024-06-13T18:54:15,1250,3.2637632011986765E-5,3.1111593233461196E-5,6.152047717489185E-5,6.795498393322185E-6,1.255951272310353E-5
Winnipeg,2024-06-13T18:54:15,20,9.842780845698452E-6,5.440809840244436E-6,1.612682394032554E-5,5.003225851394005E-6,5.300182029111648E-6
Calgary,2024-06-13T20:35:45,1250,2.746874963441086E-5,2.2632365197698464E-5,5.8226592955284185E-5,8.039998647275675E-6,1.2260866839496638E-5
Vancouver,2024-06-13T20:35:45,196,4.0539436917062865E-5,3.611162860468343E-5,8.95298018643578E-5,1.237014203069028E-5,1.5954093677804856E-5
Halifax,2024-06-14T16:53:44,1430,1.688740899275744E-5,1.6310829919232158E-5,3.498993100950106E-5,1.8718624232845353E-6,7.307311150618817E-6
Montreal,2024-06-14T16:53:44,63,8.842876385251075E-6,5.515545581151099E-6,2.3561904527004157E-5,2.0994654253962448E-6,5.6480044935590045E-6
Ottawa,2024-06-14T16:53:44,533,6.837772747078472E-6,7.190099617649111E-6,1.5335479893014536E-5,-5.729725216951788E-6,4.590190169400013E-6
Toronto,2024-06-14T16:53:44,362,4.3355697071996866E-5,4.7209816186143846E-5,5.659543239748271E-5,2.8535522439564256E-5,8.390614228635286E-6
