CMANAME,date,count,mean,median,max,min,stdDev
Halifax,2024-07-10T17:06:18,1020,2.8324839327054774E-4,2.41114344122293E-4,0.0012434356613093222,-6.670487928208824E-4,4.790306427030169E-4
Calgary,2024-07-10T18:47:48,109,2.7513325178491805E-4,1.8023889211088816E-4,9.35728312470953E-4,-3.417943371465986E-4,3.859944707787529E-4
Winnipeg,2024-07-10T18:47:48,130,7.741594143777099E-5,9.834991428316197E-5,4.988747416463923E-4,-3.1781804864316674E-4,2.1059834821754805E-4
Vancouver,2024-07-10T20:29:18,178,2.856131547715077E-4,1.7809465830663596E-4,0.0010302362497914476,-5.724993534379162E-4,3.8044043869927353E-4
Calgary,2024-07-11T18:28:44,1083,0.0015727068119463375,0.0016441074103928795,0.00441519240759088,-8.132744696912661E-4,0.0012772033765335825
Winnipeg,2024-07-11T18:28:44,795,-6.249044227876613E-5,2.6765224086203205E-5,4.6178151387753046E-4,-7.607232546439036E-4,2.897656463948923E-4
Calgary,2024-07-11T20:10:14,1146,7.962436289400159E-5,9.523118848830687E-5,0.0018919677240794603,-9.338479424543902E-4,6.1635573493947E-4
Vancouver,2024-07-11T20:10:14,177,5.932116367639159E-5,4.0676167665078925E-5,0.0011714301134979138,-9.037632262323985E-4,4.761592704685497E-4
Halifax,2024-07-12T16:28:09,1063,1.2416245108274387E-4,1.7834848065264789E-4,6.017780397091473E-4,-6.38030935079298E-4,2.496021702798125E-4
Ottawa,2024-07-12T16:28:09,7,1.1455236887675898E-4,1.1458250082791595E-4,1.1458250082804316E-4,1.1440891715619983E-4,6.074163193685413E-8
Toronto,2024-07-12T16:28:09,6,4.8272088146552656E-4,4.8272088203138626E-4,4.827208976839572E-4,4.8272087266685383E-4,0.0
Toronto,2024-07-12T18:09:39,402,1.4251778344698173E-4,1.1509501928230509E-4,8.193192188636197E-4,-3.1082074219275296E-4,3.0259106098739515E-4
Winnipeg,2024-07-12T18:09:39,731,-3.669164814920824E-5,9.49506420213075E-5,4.6422585728610183E-4,-8.655520505271653E-4,3.141282321539437E-4
Calgary,2024-07-12T19:51:09,1208,-2.3794136208978885E-4,-2.2294324955187352E-4,0.0011501575087915928,-9.760725079114915E-4,4.6258236196310815E-4
Vancouver,2024-07-12T19:51:09,159,7.644066212526092E-4,0.0010459883242132945,0.0014650674515522813,-8.112634084923834E-4,8.322265933312346E-4
Halifax,2024-07-13T16:09:05,999,-7.604165147657948E-5,-1.0356299164108996E-4,3.390488855078476E-4,-4.967129789296227E-4,2.0153347884652726E-4
Montreal,2024-07-13T16:09:05,313,1.1059586645721122E-4,-1.0770529987133624E-5,0.001685022143648233,-7.229526527230941E-4,4.685097619425107E-4
Ottawa,2024-07-13T16:09:05,1401,4.992339326247889E-4,4.7933395778230505E-4,0.0019705033086885853,-4.656111414081824E-4,6.686061272796881E-4
Montreal,2024-07-13T17:50:35,433,-3.289739843170326E-5,-1.6144182616477883E-4,0.0011968505568810584,-8.778789779171145E-4,5.243222200942056E-4
Ottawa,2024-07-13T17:50:35,3546,-3.1858632737021496E-6,-3.5190409793978706E-5,0.00105303653981609,-5.920296534899967E-4,3.171019482941307E-4
Toronto,2024-07-13T17:50:35,376,9.882215513658677E-7,5.5293652970365265E-5,0.0013658555690203068,-6.376204546545359E-4,4.0806927506859746E-4
Winnipeg,2024-07-13T17:50:35,795,7.187195168338363E-5,9.80974956671455E-5,4.4238404370874776E-4,-3.580291455639782E-4,2.332078782849485E-4
Calgary,2024-07-13T19:32:06,1095,9.723626553432413E-5,1.1977870459135971E-4,0.0015711652813507548,-8.898969972522163E-4,5.097015461855556E-4
Vancouver,2024-07-13T19:32:06,188,5.073138887166359E-4,6.225180771448157E-4,0.0021400707941422355,-7.017545867723921E-4,5.254156364870732E-4
Winnipeg,2024-07-13T19:32:06,262,-3.4912797641558E-4,-2.646985068437698E-4,6.129720131870848E-4,-9.153169812643725E-4,4.252834741313495E-4
Vancouver,2024-07-13T21:13:35,172,3.345171938189513E-4,2.3096489460861026E-4,0.002112441529323869,-8.879093855259866E-4,9.819644767093732E-4
Halifax,2024-07-14T15:50:01,604,4.4838661452819804E-5,4.963105564889772E-5,5.851903115403204E-4,-6.838885601614646E-4,2.4158878631901296E-4
Halifax,2024-07-14T17:31:31,8,-3.063430485781187E-4,-3.0634304857821636E-4,-3.0634304857787625E-4,-3.0634304857821636E-4,0.0
Montreal,2024-07-14T17:31:31,227,2.164157640225866E-5,-1.4019814986254784E-4,9.998232560347628E-4,-8.30296194181417E-4,4.314690813986748E-4
Ottawa,2024-07-14T17:31:31,2574,8.624435497794374E-5,1.1120014584386265E-4,0.001054089283571372,-7.78365763835591E-4,3.7368576612550566E-4
Winnipeg,2024-07-14T17:31:31,727,1.6370796483335047E-4,2.2157301773497172E-4,8.075912788649689E-4,-7.512813899665897E-4,4.530761528576725E-4
Vancouver,2024-07-14T19:13:01,101,0.0010790881625535765,-4.756279575536556E-4,0.007681272093532226,-6.590734284865757E-4,0.002556620580506608
Winnipeg,2024-07-14T19:13:01,143,1.843225855430128E-5,-6.03055981046475E-5,3.901839745253112E-4,-6.21875398792754E-4,3.553730563623403E-4
Vancouver,2024-07-14T20:54:31,188,-5.118808892774231E-5,-5.226948992568353E-5,7.702429332298662E-4,-4.449121770456981E-4,2.270040691426192E-4
Halifax,2024-07-15T15:30:58,1,9.676672004570136E-4,9.676672004570136E-4,9.676672004570136E-4,9.676672004570136E-4,0.0
Halifax,2024-07-15T17:12:27,861,7.670690979737987E-5,8.967715068751375E-5,7.580817327839878E-4,-6.772292545069939E-4,2.789095686909748E-4
Montreal,2024-07-15T17:12:27,136,-2.880284929624962E-4,-2.7070397902668466E-4,8.449298911733773E-4,-8.315263142166632E-4,4.3642719515814515E-4
Ottawa,2024-07-15T17:12:27,289,2.5138601319146436E-6,-2.0765227744779023E-4,0.001235520234332338,-7.394711137754339E-4,4.934128491545828E-4
Calgary,2024-07-15T18:53:57,1225,2.882523114653067E-4,3.1142035444745E-4,0.0014030909060287627,-9.005182073467767E-4,5.233277269533099E-4
Calgary,2024-07-15T20:35:26,193,-2.3671853966519254E-5,1.3537918536878584E-4,3.5525579238219107E-4,-8.802363881850089E-4,3.7039739124187864E-4
Vancouver,2024-07-15T20:35:26,187,-1.8614264352131507E-4,-2.5393054238516703E-4,7.765796035524899E-4,-8.810883737185045E-4,5.686086989169187E-4
Halifax,2024-07-16T16:53:22,78,8.376351966995208E-5,1.2387915921865809E-4,4.8605558045627305E-4,-1.0207268753004052E-4,1.3587065005680137E-4
Calgary,2024-07-16T18:34:52,1165,-4.935900416027248E-5,7.460702293162104E-5,0.001047158613802885,-9.433736559013847E-4,5.025650856073332E-4
Winnipeg,2024-07-16T18:34:52,45,-2.3198810596708716E-4,-6.147352985499535E-4,4.575225331005942E-4,-6.734545777111521E-4,4.8484916972505327E-4
Calgary,2024-07-16T20:16:21,164,-3.5052496941429055E-4,-4.5703763361784947E-4,5.226843960156426E-4,-9.897798299807223E-4,4.190027398326278E-4
Vancouver,2024-07-16T20:16:21,162,9.683976241711296E-5,3.636274130449617E-5,0.0013419898459702418,-9.405550081293079E-4,7.271540534421639E-4
Halifax,2024-07-17T16:34:18,97,-7.800560252055445E-5,-8.131676449673852E-5,3.3451642957501866E-4,-4.914314687054623E-4,2.8713316260461637E-4
Toronto,2024-07-17T16:34:18,156,4.2145901107098826E-4,0.0010125375119968778,0.001128151896410466,-7.468277472076483E-4,7.794753772489525E-4
Calgary,2024-07-17T19:57:17,1049,-1.3411216399544554E-4,-1.332229598034053E-4,5.436153733177433E-4,-8.445361163482351E-4,2.646663280389706E-4
Vancouver,2024-07-17T19:57:17,35,3.2024199397488317E-4,4.4094983604749317E-4,7.097043727160994E-4,-2.294312711612788E-4,3.499821565850814E-4
Winnipeg,2024-07-18T17:56:43,617,-3.449685370316706E-5,-4.8005883852839034E-5,7.533392636107587E-4,-6.65304833091721E-4,2.3428055691190937E-4
Calgary,2024-07-18T19:38:13,518,-2.2899162914584187E-4,-2.074165039701425E-4,4.082785575755007E-4,-6.315958453353672E-4,2.2016667118973264E-4
Vancouver,2024-07-18T19:38:13,195,-4.444478447049502E-4,-5.465580821095232E-4,0.001067500095815627,-7.254621596083481E-4,3.4685840938531966E-4
